Set Name,Piece Type,Piece Name,Level,Strength,Defense,Upgrade_Hacksilver,Upgrade_Forged Iron,Upgrade_Asgardian Ingot,Runic,Vitality,Cooldown,Luck,Upgrade_Bonded Leather,Upgrade_Smoldering Embers,Upgrade_Skap Slag,Upgrade_Smouldering Embers,Upgrade_Mountain Root,Upgrade_Dwarven Steel,Upgrade_Tempered Remnants,Upgrade_Sparkling Crystal,Upgrade_Asgardian Ingots,Upgrade_Dwaren Steel,Upgrade_Nidavellir Ore,Upgrade_Purified Crystalline,Upgrade_s Broken Cuirass,Upgrade_s Broken Bracers,Upgrade_s Broken Belt,Upgrade_Divine Ashes,Upgrade_Dragon Tooth,Upgrade_Dragon Claw,Total Stats
Survival Set,Chest,Shoulder Guard of Survival,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Survival Set,Chest,Shoulder Guard of Survival,2.0,12.0,12.0,1000.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,24.0
Survival Set,Chest,Shoulder Guard of Survival,3.0,20.0,20.0,2000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,40.0
Survival Set,Chest,Shoulder Guard of Survival,4.0,28.0,28.0,6000.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,56.0
Survival Set,Chest,Shoulder Guard of Survival,5.0,36.0,36.0,10000.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,72.0
Survival Set,Chest,Shoulder Guard of Survival,6.0,44.0,44.0,15000.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,88.0
Survival Set,Chest,Shoulder Guard of Survival,7.0,52.0,52.0,20000.0,,4.0,36.0,36.0,36.0,36.0,,,,,,,,,,,,,,,,,,,248.0
Survival Set,Chest,Shoulder Guard of Survival,8.0,60.0,60.0,25000.0,,5.0,42.0,42.0,42.0,42.0,20.0,,,,,,,,,,,,,,,,,,288.0
Survival Set,Chest,Shoulder Guard of Survival,9.0,68.0,68.0,35000.0,,,48.0,48.0,48.0,48.0,4.0,2.0,,,,,,,,,,,,,,,,,328.0
Survival Set,Chest,Shoulder Guard of Survival,9.1,76.0,76.0,37500.0,,,53.0,53.0,53.0,53.0,,,10.0,,,,,,,,,,,,,,,,364.0
Survival Set,Chest,Shoulder Guard of Survival,9.2,84.0,84.0,40000.0,,,59.0,59.0,59.0,59.0,10.0,,15.0,,,,,,,,,,,,,,,,404.0
Survival Set,Chest,Shoulder Guard of Survival,9.3,92.0,92.0,42500.0,,,64.0,64.0,64.0,64.0,,,30.0,20.0,,,,,,,,,,,,,,,440.0
Survival Set,Chest,Shoulder Guard of Survival,10.0,100.0,100.0,45000.0,,,70.0,70.0,70.0,70.0,,,50.0,,1.0,,,,,,,,,,,,,,480.0
Survival Set,Wrist,Wraps of Survival,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Survival Set,Wrist,Wraps of Survival,2.0,12.0,3.0,600.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,15.0
Survival Set,Wrist,Wraps of Survival,3.0,20.0,5.0,1200.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,25.0
Survival Set,Wrist,Wraps of Survival,4.0,28.0,7.0,4000.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,35.0
Survival Set,Wrist,Wraps of Survival,5.0,36.0,9.0,6500.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,45.0
Survival Set,Wrist,Wraps of Survival,6.0,44.0,11.0,10000.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,55.0
Survival Set,Wrist,Wraps of Survival,7.0,52.0,13.0,13500.0,,2.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,157.0
Survival Set,Wrist,Wraps of Survival,8.0,60.0,15.0,16500.0,,3.0,26.0,26.0,26.0,26.0,10.0,,,,,,,,,,,,,,,,,,179.0
Survival Set,Wrist,Wraps of Survival,9.0,68.0,17.0,25000.0,,,30.0,30.0,30.0,30.0,20.0,,,,,,5.0,,,,,,,,,,,,205.0
Survival Set,Wrist,Wraps of Survival,9.1,76.0,19.0,27500.0,,,33.0,33.0,33.0,33.0,,,5.0,,,,,,,,,,,,,,,,227.0
Survival Set,Wrist,Wraps of Survival,9.2,84.0,21.0,30000.0,,,37.0,37.0,37.0,37.0,5.0,,10.0,,,,,,,,,,,,,,,,253.0
Survival Set,Wrist,Wraps of Survival,9.3,92.0,23.0,32500.0,,,40.0,40.0,40.0,40.0,,,20.0,10.0,,,,,,,,,,,,,,,275.0
Survival Set,Wrist,Wraps of Survival,10.0,100.0,25.0,35000.0,,,44.0,44.0,44.0,44.0,,,30.0,,1.0,,,,,,,,,,,,,,301.0
Survival Set,Waist,Belt of Survival,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Survival Set,Waist,Belt of Survival,2.0,3.0,12.0,600.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,15.0
Survival Set,Waist,Belt of Survival,3.0,5.0,20.0,1200.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,25.0
Survival Set,Waist,Belt of Survival,4.0,7.0,28.0,4000.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,35.0
Survival Set,Waist,Belt of Survival,5.0,9.0,36.0,6500.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,45.0
Survival Set,Waist,Belt of Survival,6.0,11.0,44.0,10000.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,55.0
Survival Set,Waist,Belt of Survival,7.0,13.0,52.0,13500.0,,2.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,157.0
Survival Set,Waist,Belt of Survival,8.0,15.0,60.0,16500.0,,3.0,26.0,26.0,26.0,26.0,10.0,,,,,,,,,,,,,,,,,,179.0
Survival Set,Waist,Belt of Survival,9.0,17.0,68.0,25000.0,,,30.0,30.0,30.0,30.0,20.0,,,,,,,10.0,,,,,,,,,,,205.0
Survival Set,Waist,Belt of Survival,9.1,19.0,76.0,27500.0,,,33.0,33.0,33.0,33.0,,,5.0,,,,,,,,,,,,,,,,227.0
Survival Set,Waist,Belt of Survival,9.2,21.0,84.0,30000.0,,,37.0,37.0,37.0,37.0,5.0,,10.0,,,,,,,,,,,,,,,,253.0
Survival Set,Waist,Belt of Survival,9.3,23.0,92.0,32500.0,,,40.0,40.0,40.0,40.0,,,20.0,10.0,,,,,,,,,,,,,,,275.0
Survival Set,Waist,Belt of Survival,10.0,25.0,100.0,35000.0,,,44.0,44.0,44.0,44.0,,,30.0,,1.0,,,,,,,,,,,,,,301.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,1.0,3.0,6.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,2.0,11.0,17.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,28.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,3.0,18.0,28.0,2000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,46.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,4.0,25.0,42.0,6000.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,67.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,5.0,32.0,58.0,10000.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,90.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,6.0,40.0,75.0,15000.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,115.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,7.0,52.0,94.0,20000.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,146.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,8.0,60.0,108.0,25000.0,,5.0,,,,,20.0,,,,,,,,,,,,,,,,,,168.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,9.0,68.0,122.0,35000.0,,,,,,,40.0,2.0,,,,,,,,,,,,,,,,,190.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,9.1,76.0,137.0,37500.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,213.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,9.2,84.0,151.0,40000.0,,,,,,,10.0,,15.0,,,,,,,,,,,,,,,,235.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,9.3,92.0,166.0,42500.0,,,,,,,,,30.0,20.0,,,,,,,,,,,,,,,258.0
Fortified Husk Set,Chest,Fortified Husk Cuirass,10.0,100.0,180.0,45000.0,,,,,,,,,50.0,,1.0,,,,,,,,,,,,,,280.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,1.0,2.0,4.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,2.0,11.0,7.0,600.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,18.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,3.0,19.0,10.0,1200.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,29.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,4.0,28.0,14.0,4000.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,42.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,5.0,36.0,20.0,6500.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,56.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,6.0,45.0,27.0,10000.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,72.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,7.0,56.0,35.0,13500.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,91.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,8.0,65.0,40.0,16500.0,,3.0,,,,,10.0,,,,,,,,,,,,,,,,,,105.0
Fortified Husk Set,Wrist,Fortified Husk Arm Guards,9.0,74.0,45.0,25000.0,,,,,,,20.0,,,,,,5.0,,,,,,,,,,,,119.0
