Category,Weapon Name,Level,Strength,Upgrade_Hacksilver,Upgrade_Rawhide,Upgrade_Stonewood,Upgrade_Petrified Bone,Runic,Vitality,Cooldown,Luck,Upgrade_Whispering Slab,Upgrade_Hardened Remnants,Upgrade_Skap Slag,Upgrade_Glowing Embers,Upgrade_Celestial Fossil,Upgrade_Petrified Bones,Upgrade_Whispering Slabs,Defense,Upgrade_Essence of Hel,Upgrade_Divine Ashes,Upgrade_Sovereign Coals,Upgrade_Gleaming Crystal,Upgrade_Lindwyrm Scales,Upgrade_Slag Deposits,Upgrade_Honed Metal,Upgrade_Luminous Alloy,Upgrade_Dust of Realms,Upgrade_Fortified Remnants,Upgrade_Blazing Embers,Upgrade_Forsaken Breath,Upgrade_Shining Crystal,Total Stats
Leviathan Axe,Wooden Knob,2.0,4.0,400.0,3.0,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,4.0
Leviathan Axe,Wooden Knob,3.0,8.0,800.0,6.0,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,8.0
Leviathan Axe,Wooden Knob,4.0,11.0,2400.0,,2.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,11.0
Leviathan Axe,Wooden Knob,5.0,15.0,4000.0,,5.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,15.0
Leviathan Axe,Wooden Knob,6.0,18.0,6000.0,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,18.0
Leviathan Axe,Wooden Knob,7.0,22.0,9000.0,,,2.0,13.0,13.0,13.0,13.0,,,,,,,,0.0,,,,,,,,,,,,,,74.0
Leviathan Axe,Wooden Knob,8.0,25.0,12000.0,,,3.0,15.0,15.0,15.0,15.0,10.0,,,,,,,0.0,,,,,,,,,,,,,,85.0
Leviathan Axe,Wooden Knob,9.0,29.0,16000.0,,,,17.0,17.0,17.0,17.0,20.0,10.0,,,,,,0.0,,,,,,,,,,,,,,97.0
Leviathan Axe,Wooden Knob,9.1,32.0,17000.0,,,,19.0,19.0,19.0,19.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,108.0
Leviathan Axe,Wooden Knob,9.2,36.0,18000.0,,,,21.0,21.0,21.0,21.0,5.0,,20.0,,,,,0.0,,,,,,,,,,,,,,120.0
Leviathan Axe,Wooden Knob,9.3,39.0,19000.0,,,,23.0,23.0,23.0,23.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,131.0
Leviathan Axe,Wooden Knob,10.0,43.0,20000.0,,,,26.0,26.0,26.0,26.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,147.0
Leviathan Axe,The Furious Maul,1.0,2.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2.0
Leviathan Axe,The Furious Maul,2.0,7.0,400.0,3.0,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,7.0
Leviathan Axe,The Furious Maul,3.0,12.0,800.0,6.0,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,12.0
Leviathan Axe,The Furious Maul,4.0,18.0,2400.0,,2.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,18.0
Leviathan Axe,The Furious Maul,5.0,26.0,4000.0,,5.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,26.0
Leviathan Axe,The Furious Maul,6.0,36.0,6000.0,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,36.0
Leviathan Axe,The Furious Maul,7.0,47.0,9000.0,,,2.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,47.0
Leviathan Axe,The Furious Maul,8.0,55.0,12000.0,,,3.0,0.0,0.0,0.0,0.0,10.0,,,,,,,0.0,,,,,,,,,,,,,,55.0
Leviathan Axe,The Furious Maul,9.0,63.0,16000.0,,,,0.0,0.0,0.0,0.0,20.0,10.0,,,,,,0.0,,,,,,,,,,,,,,63.0
Leviathan Axe,The Furious Maul,9.1,70.0,17000.0,,,,0.0,0.0,0.0,0.0,,,10.0,,,,,0.0,,,,,,,,,,,,,,70.0
Leviathan Axe,The Furious Maul,9.2,78.0,18000.0,,,,0.0,0.0,0.0,0.0,5.0,,20.0,,,,,0.0,,,,,,,,,,,,,,78.0
Leviathan Axe,The Furious Maul,9.3,86.0,19000.0,,,,0.0,0.0,0.0,0.0,,,30.0,10.0,,,,0.0,,,,,,,,,,,,,,86.0
Leviathan Axe,The Furious Maul,10.0,94.0,20000.0,,,,0.0,0.0,0.0,0.0,,,40.0,,1.0,,,0.0,,,,,,,,,,,,,,94.0
Leviathan Axe,Grip of Darkdale,1.0,3.0,,,,,0.0,0.0,2.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,5.0
Leviathan Axe,Grip of Darkdale,2.0,6.0,400.0,3.0,,,0.0,0.0,3.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,9.0
Leviathan Axe,Grip of Darkdale,3.0,11.0,800.0,6.0,,,0.0,0.0,6.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,17.0
Leviathan Axe,Grip of Darkdale,4.0,17.0,2400.0,,2.0,,0.0,0.0,9.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,26.0
Leviathan Axe,Grip of Darkdale,5.0,22.0,4000.0,,5.0,,0.0,0.0,12.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,34.0
